 U10n       cd10n      sigma    N/1e3
 1.8921    0.9069    2.3643    0.3478
 2.6203    0.9472    1.0841    0.8735
 3.5161    0.9288    0.6894    1.4026
 4.4853    0.9745    0.5150    1.6295
 5.4761    1.0082    0.4795    1.8635
 6.5257    1.0621    0.4205    1.7664
 7.4542    1.1340    0.3428    1.4994
 8.4837    1.1976    0.3852    1.0469
 9.4730    1.2884    0.3626    0.9090
10.4907    1.3741    0.3224    0.7053
11.4794    1.4611    0.3742    0.5804
12.4745    1.5433    0.3643    0.5154
13.4575    1.6213    0.3447    0.4193
14.3837    1.7043    0.3379    0.3226
15.5213    1.7927    0.3106    0.2335
16.3923    1.8991    0.3225    0.1663
17.4704    2.0482    0.3679    0.1052
18.4561    2.2753    0.4817    0.0560
19.4553    2.2762    0.5387    0.0292
20.4569    2.2248    0.4581    0.0152
21.4287    2.4525    0.3943    0.0100
22.3636    2.5865    0.3130    0.0032
23.5404    2.9497    0.3000    0.0020
24.3604    2.7756    0.3000    0.0032
